parameter_name,value,unit,description
# Phenology Model Parameters
# All phenology and developmental stage parameters
# Includes thermal time requirements, bolting risk factors, and growth stage transitions
base_temperature,4.5,°C,Base temperature for thermal time calculation
optimal_temperature_min,18.0,°C,Minimum optimal temperature for development
optimal_temperature_max,24.0,°C,Maximum optimal temperature for development
maximum_temperature,35.0,°C,Maximum temperature beyond which development ceases
thermal_time_scale,1.0,dimensionless,Scaling factor for thermal time calculation
photoperiod_sensitive,true,boolean,Whether plant is sensitive to photoperiod
critical_photoperiod,14.0,hours,Critical photoperiod for flowering induction
photoperiod_slope,0.1,dimensionless,Slope of photoperiod response function
bolting_photoperiod_threshold,16.0,hours,Photoperiod threshold for bolting risk
bolting_temperature_threshold,25.0,°C,Temperature threshold for bolting risk
bolting_photoperiod_divisor,2.0,dimensionless,Divisor for photoperiod bolting risk calculation
bolting_photoperiod_risk_max,0.8,fraction,Maximum risk from photoperiod stress
bolting_temperature_divisor,5.0,dimensionless,Divisor for temperature bolting risk calculation
bolting_temperature_risk_max,0.7,fraction,Maximum risk from temperature stress
bolting_sustained_stress_risk,0.05,fraction,Daily risk accumulation under sustained stress
bolting_maturity_risk_factor,0.02,fraction,Risk increase per day after maturity
bolting_maturity_risk_max,0.6,fraction,Maximum maturity-related bolting risk
bolting_risk_threshold,0.3,fraction,Cumulative risk threshold for bolting initiation
environmental_buffer_days,3,days,Buffer days for environmental stress averaging
environmental_history_days,7,days,Days of environmental history to consider
head_formation_node_requirement,8,nodes,Minimum node count required for head formation
vernalization_required,false,boolean,Whether vernalization is required for flowering
vernalization_temperature,4.0,°C,Temperature for vernalization requirement
vernalization_days,30,days,Days of vernalization required
stress_acceleration_factor,1.5,dimensionless,Acceleration factor under stress conditions
drought_threshold,0.3,fraction,Water stress threshold for development acceleration
heat_threshold,30.0,°C,Temperature threshold for heat stress effects
optimal_water_stress,1.0,dimensionless,Optimal water stress factor
GE_to_VE,600.0,GDD,Germination to emergence (adjusted for 34-35 day maturity)
